

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
160.155  000.033  000.033: require('everforest.colours')
160.416  000.260  000.260: require('everforest.highlights')
160.419  000.430  000.115: require('everforest')
163.242  003.284  002.854: sourcing /home/brian/.local/share/nvim/lazy/everforest-nvim/colors/everforest.lua
164.983  000.078  000.078: require('nvim-treesitter.utils')
165.288  000.022  000.022: require('vim.treesitter.language')
165.294  000.061  000.039: require('vim.treesitter.query')
165.315  000.019  000.019: require('vim.treesitter._range')
165.319  000.126  000.045: require('vim.treesitter.languagetree')
165.323  000.169  000.043: require('vim.treesitter')
165.627  000.639  000.470: require('nvim-treesitter.parsers')
165.756  000.023  000.023: require('nvim-treesitter.compat')
165.810  000.032  000.032: require('nvim-treesitter.ts_utils')
165.813  000.056  000.024: require('nvim-treesitter.tsrange')
165.830  000.016  000.016: require('nvim-treesitter.caching')
165.835  000.133  000.038: require('nvim-treesitter.query')
165.842  000.178  000.045: require('nvim-treesitter.configs')
165.844  000.215  000.037: require('nvim-treesitter.info')
165.878  000.033  000.033: require('nvim-treesitter.shell_command_selectors')
165.896  001.181  000.215: require('nvim-treesitter.install')
165.915  000.018  000.018: require('nvim-treesitter.statusline')
165.941  000.025  000.025: require('nvim-treesitter.query_predicates')
165.943  001.460  000.237: require('nvim-treesitter')
166.184  001.765  000.305: sourcing /home/brian/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
166.754  000.191  000.191: sourcing /home/brian/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
167.054  000.027  000.027: require('telescope._extensions')
167.057  000.287  000.260: require('telescope')
167.277  000.026  000.026: require('plenary.bit')
167.302  000.023  000.023: require('plenary.functional')
167.325  000.121  000.073: require('plenary.path')
167.335  000.153  000.032: require('plenary.strings')
167.355  000.019  000.019: require('telescope.deprecated')
167.825  000.052  000.052: require('plenary.log')
167.836  000.081  000.030: require('telescope.log')
167.903  000.033  000.033: require('plenary.job')
167.921  000.016  000.016: require('telescope.state')
167.925  000.087  000.038: require('telescope.utils')
167.928  000.572  000.403: require('telescope.sorters')
169.126  001.987  001.243: require('telescope.config')
169.217  000.033  000.033: require('plenary.window.border')
169.248  000.030  000.030: require('plenary.window')
169.267  000.018  000.018: require('plenary.popup.utils')
169.269  000.139  000.058: require('plenary.popup')
169.297  000.027  000.027: require('telescope.pickers.scroller')
169.322  000.024  000.024: require('telescope.actions.state')
169.345  000.023  000.023: require('telescope.actions.utils')
169.399  000.025  000.025: require('telescope.actions.mt')
169.409  000.063  000.038: require('telescope.actions.set')
169.457  000.026  000.026: require('telescope.config.resolve')
169.458  000.049  000.023: require('telescope.pickers.entry_display')
169.478  000.019  000.019: require('telescope.from_entry')
169.613  002.556  000.226: require('telescope.actions')
169.867  000.037  000.037: require('plenary.tbl')
169.870  000.084  000.046: require('plenary.vararg.rotate')
169.871  000.104  000.021: require('plenary.vararg')
169.907  000.035  000.035: require('plenary.errors')
169.910  000.167  000.028: require('plenary.async.async')
169.946  000.034  000.034: require('plenary.async.structs')
169.950  000.232  000.031: require('plenary.async.control')
170.182  000.194  000.194: require('telescope.make_entry')
170.362  000.039  000.039: require('plenary.async.util')
170.364  000.071  000.031: require('plenary.async.tests')
170.365  000.113  000.042: require('plenary.async')
170.388  000.205  000.092: require('telescope.finders.async_static_finder')
170.513  000.037  000.037: require('plenary.class')
170.521  000.089  000.051: require('telescope._')
170.523  000.133  000.045: require('telescope.finders.async_oneshot_finder')
170.555  000.032  000.032: require('telescope.finders.async_job_finder')
170.559  000.608  000.044: require('telescope.finders')
170.800  000.112  000.112: require('telescope.debounce')
170.882  000.080  000.080: require('telescope.mappings')
170.923  000.039  000.039: require('telescope.pickers.highlights')
170.993  000.069  000.069: require('telescope.pickers.window')
171.093  000.050  000.050: require('telescope.algos.linked_list')
